==PROF== Connected to process 2302254 (/home/duo.an/workspaces/playground-cuda/build/05_layernorm)
==PROF== Disconnected from process 2302254
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","85,120"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","0.04"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","100,800"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","256"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","1"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","32"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.91"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","31.86"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","27.48"
"0","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_naive_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","32"
"1","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_block_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","75,136"
"1","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_block_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","0.62"
"1","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_block_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","6,016"
"1","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_block_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"1","2302254","05_layernorm","127.0.0.1","<unnamed>::layernorm_block_kernel(const float *, const float *, const float *, float *, int, int, float)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
