==PROF== Connected to process 262637 (/home/duo.an/workspaces/playground-cuda/build/02_reduce_sum/bench)
==PROF== Disconnected from process 262637
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","540,397,056"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","0.07"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","367,782,400"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","256"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","524,289"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99.96"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","28.63"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","6,045.10"
"0","262637","bench","127.0.0.1","<unnamed>::reduce_sum_atomic_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","32.00"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","539,215,744"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","10.08"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","2,622,432"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","26,251"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","398,341"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","256"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","524,289"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99.91"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","24.00"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","2.80"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","2.11"
"1","262637","bench","127.0.0.1","<unnamed>::reduce_sum_interleaved_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","31.92"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","539,200,384"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","18.31"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","1,444,192"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","12,763"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","284,137"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","256"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","524,289"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99.65"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","20.03"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","4.33"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.58"
"2","262637","bench","127.0.0.1","<unnamed>::reduce_sum_sequential_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","31.81"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","539,201,792"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","17.35"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","1,524,128"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","1,058"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","38,986"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","256"
"3","262637","bench","127.0.0.1","<unnamed>::reduce_sum_warp_shuffle_kernel(const float *, float *, int)","1","7","(256, 1, 1)","(524289, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","524,289"
